TestDescription,Unit,Value,Component
511870_Decklid_Liftglass_Switch_Ck, hex,0,R2109
512020_IP_Release_Switch_Ckt Inact, hex,0,R2109
512170_Horn_Relay_Input_Ckt Inacti, hex,0,R2109
512172_Horn_Relay_Input_Ckt Inacti, hex,0,R2109
529320_Hazard_Ckt Input No polling, hex,0,R2109
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,T202
CAUSER,  ,29,C5003
271_[J6-25]Measure Run Start Rel E, V,1.249,C5003
271_[J6-25]Measure Run Start Rel E, V,1.302,C5003
CAUSER,  ,29,D5200
538840_RL_Cap_Sensor_Data_Ckt  Wak, hex,0,D5200
538920_RR_Cap_Sensor_Data_Ckt  Wak, hex,0,D5200
546150_Write Key Code Card Number, hex,1,D5200
538840_RL_Cap_Sensor_Data_Ckt  Wak, hex,0,D5200
538920_RR_Cap_Sensor_Data_Ckt  Wak, hex,0,D5200
Pass or Fail for the unit from Viscom,  ,1,D5200
A2C01682700,  ,2,D5200
Pass or Fail for the unit from Viscom,  ,1,D5200
A2C01682700,  ,2,D5200
A2C01682700,  ,2,D5200
CAUSER,  ,29,D3300
CAUSER,  ,29,D3300
525200_LF_DRL_Lamp_Ckt Vpp, V,12.10,D3300
525210_LF_DRL_Lamp_Ckt DC, %,0,D3300
525220_LF_DRL_Lamp_Ckt Fdbk On, Dec,0,D3300
525250_RF_DRL_Lamp_Ckt Vpp, V,11.23,D3300
525260_RF_DRL_Lamp_Ckt DC, %,0,D3300
525270_RF_DRL_Lamp_Ckt Fdbk On, Dec,0,D3300
525300_White_Lighting_Ckt Vpp, V,11.36,D3300
525350_Backlighting_LED_Ckt Vpp, V,11.48,D3300
525400_ALM_Conditioned_Pwr_Ckt Vpp, V,11.58,D3300
525490_LR_Position_Lamp_Ckt Vpp, V,10.94,D3300
525500_LR_Position_Lamp_Ckt DC, %,0,D3300
525510_LR_Position_Lamp_Ckt Fdbk O, Dec,1,D3300
525540_RR_Position_Lamp_Ckt Vpp, V,10.37,D3300
525550_RR_Position_Lamp_Ckt DC, %,0,D3300
525560_RR_Position_Lamp_Ckt Fdbk O, Dec,0,D3300
525590_Backlighting2_LED_Ckt Vpp, V,10.53,D3300
526850_Door_Lock_LED_Status_Ckt Vp, V,10.67,D3300
529470_Discrete_VSPD_Ckt Vpp, V,10.75,D3300
532200_Start_Button_LED_Ckt Vpp, V,11.01,D3300
534320_Piezo_Sounder_Ckt Vpp, V,11.11,D3300
546150_Write Key Code Card Number, hex,1,D3300
525200_LF_DRL_Lamp_Ckt Vpp, V,11.89,D3300
525210_LF_DRL_Lamp_Ckt DC, %,0,D3300
525220_LF_DRL_Lamp_Ckt Fdbk On, Dec,0,D3300
525250_RF_DRL_Lamp_Ckt Vpp, V,11.04,D3300
525260_RF_DRL_Lamp_Ckt DC, %,0,D3300
525270_RF_DRL_Lamp_Ckt Fdbk On, Dec,0,D3300
525300_White_Lighting_Ckt Vpp, V,11.20,D3300
525350_Backlighting_LED_Ckt Vpp, V,11.34,D3300
525400_ALM_Conditioned_Pwr_Ckt Vpp, V,11.45,D3300
525490_LR_Position_Lamp_Ckt Vpp, V,10.82,D3300
525500_LR_Position_Lamp_Ckt DC, %,0,D3300
525510_LR_Position_Lamp_Ckt Fdbk O, Dec,1,D3300
525540_RR_Position_Lamp_Ckt Vpp, V,10.26,D3300
525550_RR_Position_Lamp_Ckt DC, %,0,D3300
525560_RR_Position_Lamp_Ckt Fdbk O, Dec,0,D3300
525590_Backlighting2_LED_Ckt Vpp, V,10.42,D3300
526850_Door_Lock_LED_Status_Ckt Vp, V,10.57,D3300
529470_Discrete_VSPD_Ckt Vpp, V,10.67,D3300
532200_Start_Button_LED_Ckt Vpp, V,10.80,D3300
534320_Piezo_Sounder_Ckt Vpp, V,10.91,D3300
546150_Write Key Code Card Number, hex,1,D3300
CAUSER,  ,29,D2102
546150_Write Key Code Card Number, hex,1,D2102
513650_Liftgate_Glass_Decklid_Ajar, Dec,26,D2102
513650_Liftgate_Glass_Decklid_Ajar, Dec,25,D2102
513650_Liftgate_Glass_Decklid_Ajar, Dec,26,D2102
546150_Write Key Code Card Number, hex,1,D2102
511800_Decklid_Liftglass_Switch_Ck, hex,256,D2102
513650_Liftgate_Glass_Decklid_Ajar, Dec,26,D2102
546150_Write Key Code Card Number, hex,1,D2102
513650_Liftgate_Glass_Decklid_Ajar, Dec,26,D2102
546150_Write Key Code Card Number, hex,1,D2102
513650_Liftgate_Glass_Decklid_Ajar, Dec,26,D2102
T2000A_OFF,V,5.000,V4015
555_Demand Relay Ckt Fdbk On, Dec,432,V4015
T2000A_OFF,V,5.000,V4015
SHORTS,O,0,V4015
SHORTS,O,0,V4015
555_Demand Relay Ckt Fdbk On, Dec,427,V4015
106_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
102_PulseScan1FdbkOn, Dec,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb, Dec,0,T201
665_[J4-30][J4-32]Prot Ant 1 P-P V, V,182.5,C6084
665_[J4-30][J4-32]Prot Ant 1 P-P V, V,183.1,C6084
670_[J4-30][J4-32]Prot Ant 1 P-P V, V,0,C6084
121_[J5-29]RR_Door_Latch_Fdbk_CktF, Dec,0,V700
129_[J5-4]Door_Unlock_Switch_CktFd, Dec,0,V700
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
811_DTCs_Allowed, Dec,-99,D212
106_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
309_Read RS polling Hazard, Dec,1,T201
102_PulseScan1FdbkOn, Dec,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb, Dec,0,T201
781_Write_Key_Code_Card_Number, P/F,1,T201
309_Read RS polling Hazard, Dec,1,T201
CAUSER,  ,2,T4707
CAUSER,  ,3,T4707
Recog,  ,5,T4707
535410_Driver_Door_UnLock_Ckt HSD , hex,4098,T4707
535450_Driver_Door_UnLock_Ckt LSD , hex,4098,T4707
535760_Child_Lock_Ckt HSD Voltage , V,-.008,T4707
535770_Child_Lock_Ckt HSD Status R, hex,4098,T4707
535790_Child_Lock_Ckt LSD Voltage , V,13.51,T4707
535800_Child_Lock_Ckt LSD Fdbk on, Dec,0,T4707
535810_Child_Lock_Ckt LSD Status R, hex,4098,T4707
535860_Liftgate_Release_Ckt HSD St, hex,4098,T4707
535910_Liftgate_Release_Ckt LSD St, hex,4098,T4707
535960_Decklid_Liftglass_Release_C, hex,4098,T4707
536010_Decklid_Liftglass_Release_C, hex,4098,T4707
535410_Driver_Door_UnLock_Ckt HSD , hex,4098,T4707
535450_Driver_Door_UnLock_Ckt LSD , hex,4098,T4707
535760_Child_Lock_Ckt HSD Voltage , V,-.008,T4707
535770_Child_Lock_Ckt HSD Status R, hex,4098,T4707
535790_Child_Lock_Ckt LSD Voltage , V,13.51,T4707
535800_Child_Lock_Ckt LSD Fdbk on, Dec,0,T4707
535810_Child_Lock_Ckt LSD Status R, hex,4098,T4707
535860_Liftgate_Release_Ckt HSD St, hex,4098,T4707
535910_Liftgate_Release_Ckt LSD St, hex,4098,T4707
535960_Decklid_Liftglass_Release_C, hex,4098,T4707
536010_Decklid_Liftglass_Release_C, hex,4098,T4707
546150_Write Key Code Card Number, hex,1,T4707
535410_Driver_Door_UnLock_Ckt HSD , hex,4098,T4707
535450_Driver_Door_UnLock_Ckt LSD , hex,4098,T4707
535760_Child_Lock_Ckt HSD Voltage , V,-.014,T4707
535770_Child_Lock_Ckt HSD Status R, hex,4098,T4707
535790_Child_Lock_Ckt LSD Voltage , V,13.51,T4707
535800_Child_Lock_Ckt LSD Fdbk on, Dec,0,T4707
535810_Child_Lock_Ckt LSD Status R, hex,4098,T4707
535860_Liftgate_Release_Ckt HSD St, hex,4098,T4707
535910_Liftgate_Release_Ckt LSD St, hex,4098,T4707
535960_Decklid_Liftglass_Release_C, hex,4098,T4707
536010_Decklid_Liftglass_Release_C, hex,4098,T4707
546150_Write Key Code Card Number, hex,1,T4707
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
102_PulseScan1FdbkOn, Dec,0,D212
104_[J2-18]Horn_Relay_Input_CktFdb, Dec,0,D212
102_PulseScan1FdbkOn, Dec,0,D212
104_[J2-18]Horn_Relay_Input_CktFdb, Dec,0,D212
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol, V,13.26,D4009
143_[J5-34]Liftgate_Glass_Decklid_, Dec,0,D210
492_[TLE7239]Read_Register3_FdbkCL, Dec,104,V4000
492_[TLE7239]Read_Register3_FdbkCL, Dec,104,V4000
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D203
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,T202
226_[J5-45]RR_Child_Lock_FB_CktFdb, Dec,0,V2002
143_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D203
260_[J1-13]J1-13_BOO_F4-5A_SPL1Vol, mV,121.2,D203
689_[J5-13]STOP_LAMPS_CHMSL_CKT Vo, V,.0894,D203
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D203
689_[J5-13]STOP_LAMPS_CHMSL_CKT Vo, V,.0859,D203
5_MPC560_ContactMCU, P/F,0,D212
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
781_Write_Key_Code_Card_Number, P/F,1,D212
CAUSER,  ,29,D2001
513300_LR_Door_Ajar_Ckt Low, Dec,3575,D2001
513300_LR_Door_Ajar_Ckt Low, Dec,3575,D2001
513390_LF_Door_Ajar_Ckt Low, Dec,3577,D2001
513480_RR_Door_Ajar_Ckt Low, Dec,3570,D2001
534_[TLE7239]Read_Std_DiagPattern_, Dec,255,V700
534_[TLE7239]Read_Std_DiagPattern_, Dec,255,V700
143_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D209
C4044,-,20447,D209
C4044,-,20527,D209
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D209
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D209
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D209
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D209
C4044,-,21089,D209
C4044,-,21287,D209
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D209
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D209
763_Monitor_Autopark_SW_status_cha, Dec,4,V801
763_Monitor_Autopark_SW_status_cha, Dec,4,V801
411_[J2-45]Backlighting_LED_CktVol, V,.0579,C4107
398_[J2-45]Backlighting_LED_Ckt_On, V,.3623,C4107
398_[J2-45]Backlighting_LED_Ckt_On, V,.4532,C4107
540170_TLE75xx SPI disabled via LI, Dec,1,T4000
540170_TLE75xx SPI disabled via LI, Dec,1,T4000
131_[J2-19]Hazard_CktFdbkOff, Dec,0,D211
FINAL, -N,.8309,D211
162_[J5-34]Liftgate_Glass_Decklid_, Dec,0,D210
143_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D203
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D203
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D203
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D203
540380_Horn_Relay_Ctrl_Ckt Voltage, V,99900,D4100
540380_Horn_Relay_Ctrl_Ckt Voltage, V,99900,D4100
Pass or Fail for the unit from Viscom,  ,1,D4100
A2C02407300,  ,99,D4100
A2C00418700,  ,3,D4100
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D203
188_[J5-31]LR_LED_Turn_Outage_CktF, Dec,0,V2002
188_[J5-31]LR_LED_Turn_Outage_CktF, Dec,0,V2002
5_MPC560_ContactMCU, P/F,0,V2002
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,T202
188_[J5-31]LR_LED_Turn_Outage_CktF, Dec,0,V2002
188_[J5-31]LR_LED_Turn_Outage_CktF, Dec,0,V2002
5_MPC560_ContactMCU, P/F,0,V2002
289_Read_No_polling_Hazard, Dec,0,D200
5_MPC560_ContactMCU, P/F,0,V700
5_MPC560_ContactMCU, P/F,0,V700
5_MPC560_ContactMCU, P/F,0,V700
292_[J6-25]Run_Start_Relay_Ext_Vof, V,13.41,V5015
294_Run_Start_Rel_fdbk, Dec,454,V5015
292_[J6-25]Run_Start_Relay_Ext_Vof, V,13.41,V5015
294_Run_Start_Rel_fdbk, Dec,455,V5015
512240_AI_VBATT_SW1_FDBK Off, Dec,356,D210
512240_AI_VBATT_SW1_FDBK Off, Dec,356,D210
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
CAUSER,  ,29,R3800
525510_LR_Position_Lamp_Ckt Fdbk O, Dec,4095,R3800
525510_LR_Position_Lamp_Ckt Fdbk O, Dec,4095,R3800
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol, V,13.29,D4009
CAUSER,  ,29,C1014
511010_AI_VBATT_SW4_FDBK On, Dec,2,C1014
511010_AI_VBATT_SW4_FDBK On, Dec,2,C1014
38_[J7_22][J3_06] RP1 to GND SHS, P/F,1,D204
155_[J5-19]RR_Door_Ajar_CktFdbkOn, Dec,1,D204
538910_RR_Cap_Sensor_Data_Ckt  Fre, Dec,0,C5050
538910_RR_Cap_Sensor_Data_Ckt  Fre, Dec,0,C5050
522740_Interior_Lighting_Ckt Volta, V,12.42,C5050
121_PulseScan1FdbkOn, Dec,0,R348
102_PulseScan1FdbkOn, Dec,0,R348
104_[J2-18]Horn_Relay_Input_CktFdb, Dec,0,R348
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
79_Upload EOL ToolBox, Dec,-1,R145
CAUSER,  ,29,R145
59_ENTER EOL MODE AND INITIALIZAT, P/F,1,R145
188_[J5-31]LR_LED_Turn_Outage_CktF, Dec,0,V2002
169_[J5-31]LR_LED_Turn_Outage_CktF, Dec,0,V2002
169_[J5-31]LR_LED_Turn_Outage_CktF, Dec,0,V2002
226_[J5-45]RR_Child_Lock_FB_CktFdb, Dec,0,V2002
226_[J5-45]RR_Child_Lock_FB_CktFdb, Dec,0,V2002
226_[J5-45]RR_Child_Lock_FB_CktFdb, Dec,0,V2002
5_MPC560_ContactMCU, P/F,0,V2002
226_[J5-45]RR_Child_Lock_FB_CktFdb, Dec,0,V2002
207_[J5-45]RR_Child_Lock_FB_CktFdb, Dec,0,V2002
781_Write_Key_Code_Card_Number, P/F,1,V2002
125_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
125_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
538810_RL_Cap_Sensor_Data_Ckt  Vol, V,.0046,T5202
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
757_[J6-7]Parkaid_Sensor_Power_Fro, V,.0010,V801
758_[J6-7]Parkaid_Sensor_Power_Fro, V,.0377,V801
CAUSER,  ,2,V4005
CAUSER,  ,7,V4005
Recog,  ,5,V4005
420_[J2-44]White_Light_Ckt50%VminV, mV,11754,V4005
407_[J2-44]White_Light_Ckt50%VminV, mV,1150.,V4005
407_[J2-44]White_Light_Ckt50%VminV, mV,1152.,V4005
226_[J5-45]RR_Child_Lock_FB_CktFdb, Dec,0,V2002
226_[J5-45]RR_Child_Lock_FB_CktFdb, Dec,0,V2002
226_[J5-45]RR_Child_Lock_FB_CktFdb, Dec,0,V2002
207_[J5-45]RR_Child_Lock_FB_CktFdb, Dec,0,V2002
781_Write_Key_Code_Card_Number, P/F,1,V2002
5_MPC560_ContactMCU, P/F,0,V2002
540380_Horn_Relay_Ctrl_Ckt Voltage, V,99900,D4100
J3_2_Y, =--m,-1,D4100
J3_2_X, =--m,-1,D4100
337_[J5-49]ENS_Signal_CktFrequency, Dec,9999,D2000
J2_40_Y, =--m,6.909,D2000
D6010,V,2.486,D6010
D212,V,2.537,D212
D212,V,2.544,D212
162_[J5-34]Liftgate_Glass_Decklid_, Dec,0,D210
121_PulseScan1FdbkOn, Dec,0,T201
635_[J4-31][J4-14]Request ID, P/F,-1,V6000
635_[J4-31][J4-14]Request ID, P/F,-1,V6000
635_[J4-31][J4-14]Request ID, P/F,-1,V6000
635_[J4-31][J4-14]Request ID, P/F,-1,V6000
635_[J4-31][J4-14]Request ID, P/F,-1,V6000
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,T202
143_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D203
CAUSER,  ,29,R4713
535368_AI_RSLD_FDBK_offset, Dec,944,R4713
535368_AI_RSLD_FDBK_offset, Dec,939,R4713
Fuse_05, PRECE,0,R4713
Fuse_26, PRECE,0,R4713
105_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
105_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
105_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
479_[J7-6]RF_High_Beam_CktVoltage, V,-.002,D6113
479_[J7-6]RF_High_Beam_CktVoltage, V,-.001,D6113
182_PulseScan2FdbkOn, Dec,1023,R2066
234_[J5-9]DI_Spare_3FdbkOn, Dec,1,R2066
511070_Liftgate_Switch_Ckt Active, hex,8,D2200
7_Read_LB2, Dec,1,D2200
33_OCR_SERIAL_NUMB, Dec,1,D2200
511070_Liftgate_Switch_Ckt Active, hex,8,D2200
45_BLANK_FPN1_OCR_IZQ, Dec,266,D212
7_Read_LB2, Dec,1,D212
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
106_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
CAUSER,  ,7,T2002
Recog,  ,5,T2002
CAUSER,  ,2,T2002
167_PulseScan2FdbkOn, Dec,2,T2002
CAUSER,  ,29,R4103
464_[J7-11]LF_High_Beam_CktFdbkOn, Dec,10,R4103
473_[J7-11]LF_High_Beam_CktFdbkOn, Dec,11,R4103
178_[J5-47]Park_Brake_CktFdbkOn, Dec,1,D210
579_[J3-34]Security_Horn_Feed_CktV, V,-.143,V5000
579_[J3-34]Security_Horn_Feed_CktV, V,-.150,V5000
571_[J3-32]All_Door_UnLock_CktVolt, V,.0140,V5000
572_[J3-5]Double_Lock_Output_CktVo, V,.0199,V5000
586_[J3-5]Double_Lock_Output_CktVo, V,.0160,V5000
7_Read_LB2, P/F,1,V5000
178_[J5-47]Park_Brake_CktFdbkOn, Dec,1,D6112
178_[J5-47]Park_Brake_CktFdbkOn, Dec,1,D6112
468_[J7-11]LF_High_Beam_CktVoltage, V,-.001,D6112
337_[J5-49]ENS_Signal_CktFrequency, Dec,9999,D2000
316_[J5-49]ENS_Signal_CktFrequency, Dec,9.999,D2000
317_[J5-49]ENS_Signal_CktDC, Dec,9.999,D2000
CAUSER,  ,29,R4706
535800_Child_Lock_Ckt LSD Fdbk on, Dec,223,R4706
535800_Child_Lock_Ckt LSD Fdbk on, Dec,226,R4706
502_[J6-10]HID_Shutter_Relay_Ctrl_, mV,2523.,V4000
514_[J6-10]HID_Shutter_Relay_Ctrl_, Dec,2524.,V4000
514_[J6-10]HID_Shutter_Relay_Ctrl_, Dec,2457.,V4000
507570_LIN_03_Ckt Echo test, hex,14,L502
507570_LIN_03_Ckt Echo test, hex,14,L502
CAUSER,  ,29,L502
CAUSER,  ,3,L502
Recog,  ,5,L502
507570_LIN_03_Ckt Echo test, hex,14,L502
511390_LF_Door_Latch_Fdbk_Ckt Acti, hex,8192,D2400
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
511570_StartStop2_Ckt Inactive, hex,0,R2111
D1107,V,1.928,R2111
D1107,V,2.110,R2111
C1105,  ,11371,D2000
J4_1_Y, =--m,1.169,D2000
J4_2_Y, =--m,3.730,D2000
J4_3_Y, =--m,6.289,D2000
J4_4_Y, =--m,8.829,D2000
J4_5_Y, =--m,11.43,D2000
J4_6_Y, =--m,13.97,D2000
J4_7_Y, =--m,16.54,D2000
J4_8_Y, =--m,19.09,D2000
J4_9_Y, =--m,21.68,D2000
J4_10_Y, =--m,24.20,D2000
J4_11_Y, =--m,26.79,D2000
J4_12_Y, =--m,29.29,D2000
J4_13_Y, =--m,31.87,D2000
J4_14_Y, =--m,34.43,D2000
J4_15_Y, =--m,37.02,D2000
J4_16_Y, =--m,39.59,D2000
J4_17_Y, =--m,1.169,D2000
J4_18_Y, =--m,3.759,D2000
J4_19_Y, =--m,6.230,D2000
J4_20_Y, =--m,8.850,D2000
J4_21_Y, =--m,11.43,D2000
J4_22_Y, =--m,13.90,D2000
J4_23_Y, =--m,16.54,D2000
J4_24_Y, =--m,19.06,D2000
J4_25_Y, =--m,21.64,D2000
J4_26_Y, =--m,24.20,D2000
J4_27_Y, =--m,26.76,D2000
J4_28_Y, =--m,29.28,D2000
J4_29_Y, =--m,31.84,D2000
J4_30_Y, =--m,34.38,D2000
J4_31_Y, =--m,37.04,D2000
J4_32_Y, =--m,39.52,D2000
J5_1_Y, =--m,-1,D2000
J5_1_X, =--m,-1,D2000
J5_2_Y, =--m,-1,D2000
J5_2_X, =--m,-1,D2000
J5_3_Y, =--m,-1,D2000
J5_3_X, =--m,-1,D2000
J5_4_Y, =--m,-1,D2000
J5_4_X, =--m,-1,D2000
J5_5_Y, =--m,-1,D2000
J5_5_X, =--m,-1,D2000
J5_6_Y, =--m,-1,D2000
J5_6_X, =--m,-1,D2000
J5_7_Y, =--m,-1,D2000
J5_7_X, =--m,-1,D2000
J5_8_Y, =--m,-1,D2000
J5_8_X, =--m,-1,D2000
J5_9_Y, =--m,-1,D2000
J5_9_X, =--m,-1,D2000
J5_10_Y, =--m,-1,D2000
J5_10_X, =--m,-1,D2000
J5_11_Y, =--m,-1,D2000
J5_11_X, =--m,-1,D2000
J5_12_Y, =--m,-1,D2000
J5_12_X, =--m,-1,D2000
J5_13_Y, =--m,-1,D2000
J5_13_X, =--m,-1,D2000
J5_14_Y, =--m,-1,D2000
J5_14_X, =--m,-1,D2000
J5_15_Y, =--m,-1,D2000
J5_15_X, =--m,-1,D2000
J5_16_Y, =--m,-1,D2000
J5_16_X, =--m,-1,D2000
J5_17_Y, =--m,-1,D2000
J5_17_X, =--m,-1,D2000
J5_18_Y, =--m,-1,D2000
J5_18_X, =--m,-1,D2000
J5_19_Y, =--m,-1,D2000
J5_19_X, =--m,-1,D2000
J5_20_Y, =--m,-1,D2000
J5_20_X, =--m,-1,D2000
J5_21_Y, =--m,-1,D2000
J5_21_X, =--m,-1,D2000
J5_22_Y, =--m,-1,D2000
J5_22_X, =--m,-1,D2000
J5_23_Y, =--m,-1,D2000
J5_23_X, =--m,-1,D2000
J5_24_Y, =--m,-1,D2000
J5_24_X, =--m,-1,D2000
J5_25_Y, =--m,-1,D2000
J5_25_X, =--m,-1,D2000
J5_26_Y, =--m,-1,D2000
J5_26_X, =--m,-1,D2000
J5_27_Y, =--m,-1,D2000
J5_27_X, =--m,-1,D2000
J5_28_Y, =--m,-1,D2000
J5_28_X, =--m,-1,D2000
J5_29_Y, =--m,-1,D2000
J5_29_X, =--m,-1,D2000
J5_30_Y, =--m,-1,D2000
J5_30_X, =--m,-1,D2000
J5_31_Y, =--m,-1,D2000
J5_31_X, =--m,-1,D2000
J5_32_Y, =--m,-1,D2000
J5_32_X, =--m,-1,D2000
J5_33_Y, =--m,-1,D2000
J5_33_X, =--m,-1,D2000
J5_34_Y, =--m,-1,D2000
J5_34_X, =--m,-1,D2000
J5_35_Y, =--m,-1,D2000
J5_35_X, =--m,-1,D2000
J5_36_Y, =--m,-1,D2000
J5_36_X, =--m,-1,D2000
J5_37_Y, =--m,-1,D2000
J5_37_X, =--m,-1,D2000
J5_38_Y, =--m,-1,D2000
J5_38_X, =--m,-1,D2000
J5_39_Y, =--m,-1,D2000
J5_39_X, =--m,-1,D2000
J5_40_Y, =--m,-1,D2000
J5_40_X, =--m,-1,D2000
J5_41_Y, =--m,-1,D2000
J5_41_X, =--m,-1,D2000
J5_42_Y, =--m,-1,D2000
J5_42_X, =--m,-1,D2000
J5_43_Y, =--m,-1,D2000
J5_43_X, =--m,-1,D2000
J5_44_Y, =--m,-1,D2000
J5_44_X, =--m,-1,D2000
J5_45_Y, =--m,-1,D2000
J5_45_X, =--m,-1,D2000
J5_46_Y, =--m,-1,D2000
J5_46_X, =--m,-1,D2000
J5_47_Y, =--m,-1,D2000
J5_47_X, =--m,-1,D2000
J5_48_Y, =--m,-1,D2000
J5_48_X, =--m,-1,D2000
J5_49_Y, =--m,-1,D2000
J5_49_X, =--m,-1,D2000
J5_50_Y, =--m,-1,D2000
J5_50_X, =--m,-1,D2000
J5_51_Y, =--m,-1,D2000
J5_51_X, =--m,-1,D2000
J5_52_Y, =--m,-1,D2000
J5_52_X, =--m,-1,D2000
J4_10_Y, =--m,-1,D2000
J4_10_X, =--m,-1,D2000
513660_Liftgate_Glass_Decklid_Ajar, Dec,4,D2000
513660_Liftgate_Glass_Decklid_Ajar, Dec,4,D2000
185_[J5-15]Keypad_Switch_C_CktFdbk, Dec,1,V203
CAUSER,  ,42,V203
185_[J5-15]Keypad_Switch_C_CktFdbk, Dec,1,V203
125_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
125_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
125_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
178_[J5-47]Park_Brake_CktFdbkOn, Dec,1,D205
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
15_ISO_15416_1D_QUIET_ZONE, Dec,0,D212
15_ISO_15416_1D_QUIET_ZONE, Dec,0,D212
162_[J5-34]Liftgate_Glass_Decklid_, Dec,0,D210
CAUSER,  ,29,R4706
535800_Child_Lock_Ckt LSD Fdbk on, Dec,1,R4706
535800_Child_Lock_Ckt LSD Fdbk on, Dec,5,R4706
535800_Child_Lock_Ckt LSD Fdbk on, Dec,1,R4706
308_Read_No_polling_Hazard, Dec,0,D200
289_Read_No_polling_Hazard, Dec,0,D200
146_[J5-47]Park_Brake_CktFdbkOff, Dec,0,R221
CAUSER,  ,29,R221
504440_Nominal Current, mA,6.003,D2400
511390_LF_Door_Latch_Fdbk_Ckt Acti, hex,8192,D2400
511390_LF_Door_Latch_Fdbk_Ckt Acti, hex,8192,D2400
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,C6035
202_[J2-29]ALM_Color_Select_CktFdb, Dec,0,C6035
514940_ENS_Signal_Ckt Frequency, Hz,9.999,D2800
514940_ENS_Signal_Ckt Frequency, Hz,9.999,D2800
J5_48_Y, =--m,-1,D2800
J5_48_X, =--m,-1,D2800
J5_49_Y, =--m,-1,D2800
J5_49_X, =--m,-1,D2800
757_[J6-7]Parkaid_Sensor_Power_Fro, V,.0089,V801
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
684_[J6-20]Horn_Relay_Ctrl_Ckt Vol, V,13.30,D4009
811_DTCs_Allowed, Dec,-99,D4009
CAUSER,  ,29,R4732
535364_AI_DOOR_LS_SENSE_offset, Dec,960,R4732
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
781_Write_Key_Code_Card_Number, P/F,1,D212
102_PulseScan1FdbkOn, Dec,0,T200
104_[J2-18]Horn_Relay_Input_CktFdb, Dec,0,T200
125_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
106_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
420_[J2-44]White_Light_Ckt50%VminV, mV,11397,V4005
407_[J2-44]White_Light_Ckt50%VminV, mV,1142.,V4005
308_Read_No_polling_Hazard, Dec,0,D200
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
C107,-,10415,D212
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
C5001,-,277.6,D212
C5001,-,268.9,D212
511060_Generic_SW_Input_2 Active, hex,512,R2512
