TestDescription,Value,Component
511420_Hazard_Ckt Inactive with RU,0,R2109
511570_StartStop2_Ckt Inactive,0,R2109
511650_Clutch_Input_Ckt  Active,0,R2109
511870_Decklid_Liftglass_Switch_Ck,0,R2109
512020_IP_Release_Switch_Ckt Inact,0,R2109
512170_Horn_Relay_Input_Ckt Inacti,0,R2109
512172_Horn_Relay_Input_Ckt Inacti,0,R2109
529320_Hazard_Ckt Input No polling,0,R2109
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
CAUSER,29,C5003
271_[J6-25]Measure Run Start Rel E,1.249,C5003
271_[J6-25]Measure Run Start Rel E,1.302,C5003
CAUSER,29,D5200
538840_RL_Cap_Sensor_Data_Ckt  Wak,0,D5200
538920_RR_Cap_Sensor_Data_Ckt  Wak,0,D5200
546150_Write Key Code Card Number,1,D5200
538840_RL_Cap_Sensor_Data_Ckt  Wak,0,D5200
538920_RR_Cap_Sensor_Data_Ckt  Wak,0,D5200
Pass or Fail for the unit from Viscom,1,D5200
A2C01682700,2,D5200
Pass or Fail for the unit from Viscom,1,D5200
A2C01682700,2,D5200
A2C01682700,2,D5200
CAUSER,29,D3300
CAUSER,29,D3300
525200_LF_DRL_Lamp_Ckt Vpp,12.10,D3300
525210_LF_DRL_Lamp_Ckt DC,0,D3300
525220_LF_DRL_Lamp_Ckt Fdbk On,0,D3300
525250_RF_DRL_Lamp_Ckt Vpp,11.23,D3300
525260_RF_DRL_Lamp_Ckt DC,0,D3300
525270_RF_DRL_Lamp_Ckt Fdbk On,0,D3300
525300_White_Lighting_Ckt Vpp,11.36,D3300
525350_Backlighting_LED_Ckt Vpp,11.48,D3300
525400_ALM_Conditioned_Pwr_Ckt Vpp,11.58,D3300
525490_LR_Position_Lamp_Ckt Vpp,10.94,D3300
525500_LR_Position_Lamp_Ckt DC,0,D3300
525510_LR_Position_Lamp_Ckt Fdbk O,1,D3300
525540_RR_Position_Lamp_Ckt Vpp,10.37,D3300
525550_RR_Position_Lamp_Ckt DC,0,D3300
525560_RR_Position_Lamp_Ckt Fdbk O,0,D3300
525590_Backlighting2_LED_Ckt Vpp,10.53,D3300
526850_Door_Lock_LED_Status_Ckt Vp,10.67,D3300
529470_Discrete_VSPD_Ckt Vpp,10.75,D3300
532200_Start_Button_LED_Ckt Vpp,11.01,D3300
534320_Piezo_Sounder_Ckt Vpp,11.11,D3300
546150_Write Key Code Card Number,1,D3300
525200_LF_DRL_Lamp_Ckt Vpp,11.89,D3300
525210_LF_DRL_Lamp_Ckt DC,0,D3300
525220_LF_DRL_Lamp_Ckt Fdbk On,0,D3300
525250_RF_DRL_Lamp_Ckt Vpp,11.04,D3300
525260_RF_DRL_Lamp_Ckt DC,0,D3300
525270_RF_DRL_Lamp_Ckt Fdbk On,0,D3300
525300_White_Lighting_Ckt Vpp,11.20,D3300
525350_Backlighting_LED_Ckt Vpp,11.34,D3300
525400_ALM_Conditioned_Pwr_Ckt Vpp,11.45,D3300
525490_LR_Position_Lamp_Ckt Vpp,10.82,D3300
525500_LR_Position_Lamp_Ckt DC,0,D3300
525510_LR_Position_Lamp_Ckt Fdbk O,1,D3300
525540_RR_Position_Lamp_Ckt Vpp,10.26,D3300
525550_RR_Position_Lamp_Ckt DC,0,D3300
525560_RR_Position_Lamp_Ckt Fdbk O,0,D3300
525590_Backlighting2_LED_Ckt Vpp,10.42,D3300
526850_Door_Lock_LED_Status_Ckt Vp,10.57,D3300
529470_Discrete_VSPD_Ckt Vpp,10.67,D3300
532200_Start_Button_LED_Ckt Vpp,10.80,D3300
534320_Piezo_Sounder_Ckt Vpp,10.91,D3300
546150_Write Key Code Card Number,1,D3300
CAUSER,29,D2102
546150_Write Key Code Card Number,1,D2102
513650_Liftgate_Glass_Decklid_Ajar,26,D2102
513650_Liftgate_Glass_Decklid_Ajar,25,D2102
513650_Liftgate_Glass_Decklid_Ajar,26,D2102
546150_Write Key Code Card Number,1,D2102
511800_Decklid_Liftglass_Switch_Ck,256,D2102
513650_Liftgate_Glass_Decklid_Ajar,26,D2102
546150_Write Key Code Card Number,1,D2102
513650_Liftgate_Glass_Decklid_Ajar,26,D2102
546150_Write Key Code Card Number,1,D2102
513650_Liftgate_Glass_Decklid_Ajar,26,D2102
T2000A_OFF,5.000,V4015
555_Demand Relay Ckt Fdbk On,432,V4015
T2000A_OFF,5.000,V4015
SHORTS,0,V4015
SHORTS,0,V4015
555_Demand Relay Ckt Fdbk On,427,V4015
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
102_PulseScan1FdbkOn,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb,0,T201
665_[J4-30][J4-32]Prot Ant 1 P-P V,182.5,C6084
665_[J4-30][J4-32]Prot Ant 1 P-P V,183.1,C6084
670_[J4-30][J4-32]Prot Ant 1 P-P V,0,C6084
121_[J5-29]RR_Door_Latch_Fdbk_CktF,0,V700
129_[J5-4]Door_Unlock_Switch_CktFd,0,V700
110_[J5-14]Decklid_Liftglass_Switc,1,D212
811_DTCs_Allowed,-99,D212
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
309_Read RS polling Hazard,1,T201
102_PulseScan1FdbkOn,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb,0,T201
781_Write_Key_Code_Card_Number,1,T201
309_Read RS polling Hazard,1,T201
CAUSER,2,T4707
CAUSER,3,T4707
Recog,5,T4707
535410_Driver_Door_UnLock_Ckt HSD ,4098,T4707
535450_Driver_Door_UnLock_Ckt LSD ,4098,T4707
535760_Child_Lock_Ckt HSD Voltage ,-.008,T4707
535770_Child_Lock_Ckt HSD Status R,4098,T4707
535790_Child_Lock_Ckt LSD Voltage ,13.51,T4707
535800_Child_Lock_Ckt LSD Fdbk on,0,T4707
535810_Child_Lock_Ckt LSD Status R,4098,T4707
535860_Liftgate_Release_Ckt HSD St,4098,T4707
535910_Liftgate_Release_Ckt LSD St,4098,T4707
535960_Decklid_Liftglass_Release_C,4098,T4707
536010_Decklid_Liftglass_Release_C,4098,T4707
535410_Driver_Door_UnLock_Ckt HSD ,4098,T4707
535450_Driver_Door_UnLock_Ckt LSD ,4098,T4707
535760_Child_Lock_Ckt HSD Voltage ,-.008,T4707
535770_Child_Lock_Ckt HSD Status R,4098,T4707
535790_Child_Lock_Ckt LSD Voltage ,13.51,T4707
535800_Child_Lock_Ckt LSD Fdbk on,0,T4707
535810_Child_Lock_Ckt LSD Status R,4098,T4707
535860_Liftgate_Release_Ckt HSD St,4098,T4707
535910_Liftgate_Release_Ckt LSD St,4098,T4707
535960_Decklid_Liftglass_Release_C,4098,T4707
536010_Decklid_Liftglass_Release_C,4098,T4707
546150_Write Key Code Card Number,1,T4707
535410_Driver_Door_UnLock_Ckt HSD ,4098,T4707
535450_Driver_Door_UnLock_Ckt LSD ,4098,T4707
535760_Child_Lock_Ckt HSD Voltage ,-.014,T4707
535770_Child_Lock_Ckt HSD Status R,4098,T4707
535790_Child_Lock_Ckt LSD Voltage ,13.51,T4707
535800_Child_Lock_Ckt LSD Fdbk on,0,T4707
535810_Child_Lock_Ckt LSD Status R,4098,T4707
535860_Liftgate_Release_Ckt HSD St,4098,T4707
535910_Liftgate_Release_Ckt LSD St,4098,T4707
535960_Decklid_Liftglass_Release_C,4098,T4707
536010_Decklid_Liftglass_Release_C,4098,T4707
546150_Write Key Code Card Number,1,T4707
129_[J5-14]Decklid_Liftglass_Switc,1,D212
102_PulseScan1FdbkOn,0,D212
104_[J2-18]Horn_Relay_Input_CktFdb,0,D212
102_PulseScan1FdbkOn,0,D212
104_[J2-18]Horn_Relay_Input_CktFdb,0,D212
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.26,D4009
143_[J5-34]Liftgate_Glass_Decklid_,0,D210
492_[TLE7239]Read_Register3_FdbkCL,104,V4000
492_[TLE7239]Read_Register3_FdbkCL,104,V4000
110_[J5-14]Decklid_Liftglass_Switc,1,D212
124_[J2-14]Clutch_Input_CktFdbkOn,0,D203
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
226_[J5-45]RR_Child_Lock_FB_CktFdb,0,V2002
143_[J2-14]Clutch_Input_CktFdbkOn,0,D203
260_[J1-13]J1-13_BOO_F4-5A_SPL1Vol,121.2,D203
689_[J5-13]STOP_LAMPS_CHMSL_CKT Vo,.0894,D203
124_[J2-14]Clutch_Input_CktFdbkOn,0,D203
689_[J5-13]STOP_LAMPS_CHMSL_CKT Vo,.0859,D203
5_MPC560_ContactMCU,0,D212
129_[J5-14]Decklid_Liftglass_Switc,1,D212
129_[J5-14]Decklid_Liftglass_Switc,1,D212
781_Write_Key_Code_Card_Number,1,D212
CAUSER,29,D2001
513300_LR_Door_Ajar_Ckt Low,3575,D2001
513300_LR_Door_Ajar_Ckt Low,3575,D2001
513390_LF_Door_Ajar_Ckt Low,3577,D2001
513480_RR_Door_Ajar_Ckt Low,3570,D2001
534_[TLE7239]Read_Std_DiagPattern_,255,V700
534_[TLE7239]Read_Std_DiagPattern_,255,V700
143_[J2-14]Clutch_Input_CktFdbkOn,0,D209
C4044,20447,D209
C4044,20527,D209
124_[J2-14]Clutch_Input_CktFdbkOn,0,D209
124_[J2-14]Clutch_Input_CktFdbkOn,0,D209
124_[J2-14]Clutch_Input_CktFdbkOn,0,D209
124_[J2-14]Clutch_Input_CktFdbkOn,0,D209
C4044,21089,D209
C4044,21287,D209
124_[J2-14]Clutch_Input_CktFdbkOn,0,D209
124_[J2-14]Clutch_Input_CktFdbkOn,0,D209
763_Monitor_Autopark_SW_status_cha,4,V801
763_Monitor_Autopark_SW_status_cha,4,V801
411_[J2-45]Backlighting_LED_CktVol,.0579,C4107
398_[J2-45]Backlighting_LED_Ckt_On,.3623,C4107
398_[J2-45]Backlighting_LED_Ckt_On,.4532,C4107
540170_TLE75xx SPI disabled via LI,1,T4000
540170_TLE75xx SPI disabled via LI,1,T4000
131_[J2-19]Hazard_CktFdbkOff,0,D211
FINAL,.8309,D211
162_[J5-34]Liftgate_Glass_Decklid_,0,D210
143_[J2-14]Clutch_Input_CktFdbkOn,0,D203
124_[J2-14]Clutch_Input_CktFdbkOn,0,D203
124_[J2-14]Clutch_Input_CktFdbkOn,0,D203
124_[J2-14]Clutch_Input_CktFdbkOn,0,D203
540380_Horn_Relay_Ctrl_Ckt Voltage,99900,D4100
540380_Horn_Relay_Ctrl_Ckt Voltage,99900,D4100
Pass or Fail for the unit from Viscom,1,D4100
A2C02407300,99,D4100
A2C00418700,3,D4100
124_[J2-14]Clutch_Input_CktFdbkOn,0,D203
188_[J5-31]LR_LED_Turn_Outage_CktF,0,V2002
188_[J5-31]LR_LED_Turn_Outage_CktF,0,V2002
5_MPC560_ContactMCU,0,V2002
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
188_[J5-31]LR_LED_Turn_Outage_CktF,0,V2002
188_[J5-31]LR_LED_Turn_Outage_CktF,0,V2002
5_MPC560_ContactMCU,0,V2002
289_Read_No_polling_Hazard,0,D200
5_MPC560_ContactMCU,0,V700
5_MPC560_ContactMCU,0,V700
5_MPC560_ContactMCU,0,V700
292_[J6-25]Run_Start_Relay_Ext_Vof,13.41,V5015
294_Run_Start_Rel_fdbk,454,V5015
292_[J6-25]Run_Start_Relay_Ext_Vof,13.41,V5015
294_Run_Start_Rel_fdbk,455,V5015
512240_AI_VBATT_SW1_FDBK Off,356,D210
512240_AI_VBATT_SW1_FDBK Off,356,D210
110_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,R3800
525510_LR_Position_Lamp_Ckt Fdbk O,4095,R3800
525510_LR_Position_Lamp_Ckt Fdbk O,4095,R3800
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.29,D4009
CAUSER,29,C1014
511010_AI_VBATT_SW4_FDBK On,2,C1014
511010_AI_VBATT_SW4_FDBK On,2,C1014
38_[J7_22][J3_06] RP1 to GND SHS,1,D204
155_[J5-19]RR_Door_Ajar_CktFdbkOn,1,D204
538910_RR_Cap_Sensor_Data_Ckt  Fre,0,C5050
538910_RR_Cap_Sensor_Data_Ckt  Fre,0,C5050
522740_Interior_Lighting_Ckt Volta,12.42,C5050
121_PulseScan1FdbkOn,0,R348
102_PulseScan1FdbkOn,0,R348
104_[J2-18]Horn_Relay_Input_CktFdb,0,R348
110_[J5-14]Decklid_Liftglass_Switc,1,D212
79_Upload EOL ToolBox,-1,R145
CAUSER,29,R145
59_ENTER EOL MODE AND INITIALIZAT,1,R145
188_[J5-31]LR_LED_Turn_Outage_CktF,0,V2002
169_[J5-31]LR_LED_Turn_Outage_CktF,0,V2002
169_[J5-31]LR_LED_Turn_Outage_CktF,0,V2002
226_[J5-45]RR_Child_Lock_FB_CktFdb,0,V2002
226_[J5-45]RR_Child_Lock_FB_CktFdb,0,V2002
226_[J5-45]RR_Child_Lock_FB_CktFdb,0,V2002
5_MPC560_ContactMCU,0,V2002
226_[J5-45]RR_Child_Lock_FB_CktFdb,0,V2002
207_[J5-45]RR_Child_Lock_FB_CktFdb,0,V2002
781_Write_Key_Code_Card_Number,1,V2002
125_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
125_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
538810_RL_Cap_Sensor_Data_Ckt  Vol,.0046,T5202
129_[J5-14]Decklid_Liftglass_Switc,1,D212
757_[J6-7]Parkaid_Sensor_Power_Fro,.0010,V801
758_[J6-7]Parkaid_Sensor_Power_Fro,.0377,V801
CAUSER,2,V4005
CAUSER,7,V4005
Recog,5,V4005
420_[J2-44]White_Light_Ckt50%VminV,11754,V4005
407_[J2-44]White_Light_Ckt50%VminV,1150.,V4005
407_[J2-44]White_Light_Ckt50%VminV,1152.,V4005
226_[J5-45]RR_Child_Lock_FB_CktFdb,0,V2002
226_[J5-45]RR_Child_Lock_FB_CktFdb,0,V2002
226_[J5-45]RR_Child_Lock_FB_CktFdb,0,V2002
207_[J5-45]RR_Child_Lock_FB_CktFdb,0,V2002
781_Write_Key_Code_Card_Number,1,V2002
5_MPC560_ContactMCU,0,V2002
540380_Horn_Relay_Ctrl_Ckt Voltage,99900,D4100
J3_2_Y,-1,D4100
J3_2_X,-1,D4100
337_[J5-49]ENS_Signal_CktFrequency,9999,D2000
J2_40_Y,6.909,D2000
D6010,2.486,D6010
D212,2.537,D212
D212,2.544,D212
162_[J5-34]Liftgate_Glass_Decklid_,0,D210
121_PulseScan1FdbkOn,0,T201
635_[J4-31][J4-14]Request ID,-1,V6000
635_[J4-31][J4-14]Request ID,-1,V6000
635_[J4-31][J4-14]Request ID,-1,V6000
635_[J4-31][J4-14]Request ID,-1,V6000
635_[J4-31][J4-14]Request ID,-1,V6000
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
143_[J2-14]Clutch_Input_CktFdbkOn,0,D203
CAUSER,29,R4713
535368_AI_RSLD_FDBK_offset,944,R4713
535368_AI_RSLD_FDBK_offset,939,R4713
Fuse_05,0,R4713
Fuse_26,0,R4713
105_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
105_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
105_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
479_[J7-6]RF_High_Beam_CktVoltage,-.002,D6113
479_[J7-6]RF_High_Beam_CktVoltage,-.001,D6113
182_PulseScan2FdbkOn,1023,R2066
234_[J5-9]DI_Spare_3FdbkOn,1,R2066
511070_Liftgate_Switch_Ckt Active,8,D2200
7_Read_LB2,1,D2200
33_OCR_SERIAL_NUMB,1,D2200
511070_Liftgate_Switch_Ckt Active,8,D2200
45_BLANK_FPN1_OCR_IZQ,266,D212
7_Read_LB2,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
129_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,7,T2002
Recog,5,T2002
CAUSER,2,T2002
167_PulseScan2FdbkOn,2,T2002
CAUSER,29,R4103
464_[J7-11]LF_High_Beam_CktFdbkOn,10,R4103
473_[J7-11]LF_High_Beam_CktFdbkOn,11,R4103
178_[J5-47]Park_Brake_CktFdbkOn,1,D210
579_[J3-34]Security_Horn_Feed_CktV,-.143,V5000
579_[J3-34]Security_Horn_Feed_CktV,-.150,V5000
571_[J3-32]All_Door_UnLock_CktVolt,.0140,V5000
572_[J3-5]Double_Lock_Output_CktVo,.0199,V5000
586_[J3-5]Double_Lock_Output_CktVo,.0160,V5000
7_Read_LB2,1,V5000
178_[J5-47]Park_Brake_CktFdbkOn,1,D6112
178_[J5-47]Park_Brake_CktFdbkOn,1,D6112
468_[J7-11]LF_High_Beam_CktVoltage,-.001,D6112
337_[J5-49]ENS_Signal_CktFrequency,9999,D2000
316_[J5-49]ENS_Signal_CktFrequency,9.999,D2000
317_[J5-49]ENS_Signal_CktDC,9.999,D2000
CAUSER,29,R4706
535800_Child_Lock_Ckt LSD Fdbk on,223,R4706
535800_Child_Lock_Ckt LSD Fdbk on,226,R4706
502_[J6-10]HID_Shutter_Relay_Ctrl_,2523.,V4000
514_[J6-10]HID_Shutter_Relay_Ctrl_,2524.,V4000
514_[J6-10]HID_Shutter_Relay_Ctrl_,2457.,V4000
507570_LIN_03_Ckt Echo test,14,L502
507570_LIN_03_Ckt Echo test,14,L502
CAUSER,29,L502
CAUSER,3,L502
Recog,5,L502
507570_LIN_03_Ckt Echo test,14,L502
511390_LF_Door_Latch_Fdbk_Ckt Acti,8192,D2400
129_[J5-14]Decklid_Liftglass_Switc,1,D212
511570_StartStop2_Ckt Inactive,0,R2111
D1107,1.928,R2111
D1107,2.110,R2111
C1105,11371,D2000
J4_1_Y,1.169,D2000
J4_2_Y,3.730,D2000
J4_3_Y,6.289,D2000
J4_4_Y,8.829,D2000
J4_5_Y,11.43,D2000
J4_6_Y,13.97,D2000
J4_7_Y,16.54,D2000
J4_8_Y,19.09,D2000
J4_9_Y,21.68,D2000
J4_10_Y,24.20,D2000
J4_11_Y,26.79,D2000
J4_12_Y,29.29,D2000
J4_13_Y,31.87,D2000
J4_14_Y,34.43,D2000
J4_15_Y,37.02,D2000
J4_16_Y,39.59,D2000
J4_17_Y,1.169,D2000
J4_18_Y,3.759,D2000
J4_19_Y,6.230,D2000
J4_20_Y,8.850,D2000
J4_21_Y,11.43,D2000
J4_22_Y,13.90,D2000
J4_23_Y,16.54,D2000
J4_24_Y,19.06,D2000
J4_25_Y,21.64,D2000
J4_26_Y,24.20,D2000
J4_27_Y,26.76,D2000
J4_28_Y,29.28,D2000
J4_29_Y,31.84,D2000
J4_30_Y,34.38,D2000
J4_31_Y,37.04,D2000
J4_32_Y,39.52,D2000
J5_1_Y,-1,D2000
J5_1_X,-1,D2000
J5_2_Y,-1,D2000
J5_2_X,-1,D2000
J5_3_Y,-1,D2000
J5_3_X,-1,D2000
J5_4_Y,-1,D2000
J5_4_X,-1,D2000
J5_5_Y,-1,D2000
J5_5_X,-1,D2000
J5_6_Y,-1,D2000
J5_6_X,-1,D2000
J5_7_Y,-1,D2000
J5_7_X,-1,D2000
J5_8_Y,-1,D2000
J5_8_X,-1,D2000
J5_9_Y,-1,D2000
J5_9_X,-1,D2000
J5_10_Y,-1,D2000
J5_10_X,-1,D2000
J5_11_Y,-1,D2000
J5_11_X,-1,D2000
J5_12_Y,-1,D2000
J5_12_X,-1,D2000
J5_13_Y,-1,D2000
J5_13_X,-1,D2000
J5_14_Y,-1,D2000
J5_14_X,-1,D2000
J5_15_Y,-1,D2000
J5_15_X,-1,D2000
J5_16_Y,-1,D2000
J5_16_X,-1,D2000
J5_17_Y,-1,D2000
J5_17_X,-1,D2000
J5_18_Y,-1,D2000
J5_18_X,-1,D2000
J5_19_Y,-1,D2000
J5_19_X,-1,D2000
J5_20_Y,-1,D2000
J5_20_X,-1,D2000
J5_21_Y,-1,D2000
J5_21_X,-1,D2000
J5_22_Y,-1,D2000
J5_22_X,-1,D2000
J5_23_Y,-1,D2000
J5_23_X,-1,D2000
J5_24_Y,-1,D2000
J5_24_X,-1,D2000
J5_25_Y,-1,D2000
J5_25_X,-1,D2000
J5_26_Y,-1,D2000
J5_26_X,-1,D2000
J5_27_Y,-1,D2000
J5_27_X,-1,D2000
J5_28_Y,-1,D2000
J5_28_X,-1,D2000
J5_29_Y,-1,D2000
J5_29_X,-1,D2000
J5_30_Y,-1,D2000
J5_30_X,-1,D2000
J5_31_Y,-1,D2000
J5_31_X,-1,D2000
J5_32_Y,-1,D2000
J5_32_X,-1,D2000
J5_33_Y,-1,D2000
J5_33_X,-1,D2000
J5_34_Y,-1,D2000
J5_34_X,-1,D2000
J5_35_Y,-1,D2000
J5_35_X,-1,D2000
J5_36_Y,-1,D2000
J5_36_X,-1,D2000
J5_37_Y,-1,D2000
J5_37_X,-1,D2000
J5_38_Y,-1,D2000
J5_38_X,-1,D2000
J5_39_Y,-1,D2000
J5_39_X,-1,D2000
J5_40_Y,-1,D2000
J5_40_X,-1,D2000
J5_41_Y,-1,D2000
J5_41_X,-1,D2000
J5_42_Y,-1,D2000
J5_42_X,-1,D2000
J5_43_Y,-1,D2000
J5_43_X,-1,D2000
J5_44_Y,-1,D2000
J5_44_X,-1,D2000
J5_45_Y,-1,D2000
J5_45_X,-1,D2000
J5_46_Y,-1,D2000
J5_46_X,-1,D2000
J5_47_Y,-1,D2000
J5_47_X,-1,D2000
J5_48_Y,-1,D2000
J5_48_X,-1,D2000
J5_49_Y,-1,D2000
J5_49_X,-1,D2000
J5_50_Y,-1,D2000
J5_50_X,-1,D2000
J5_51_Y,-1,D2000
J5_51_X,-1,D2000
J5_52_Y,-1,D2000
J5_52_X,-1,D2000
J4_10_Y,-1,D2000
J4_10_X,-1,D2000
513660_Liftgate_Glass_Decklid_Ajar,4,D2000
513660_Liftgate_Glass_Decklid_Ajar,4,D2000
185_[J5-15]Keypad_Switch_C_CktFdbk,1,V203
CAUSER,42,V203
185_[J5-15]Keypad_Switch_C_CktFdbk,1,V203
125_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
125_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
125_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
178_[J5-47]Park_Brake_CktFdbkOn,1,D205
129_[J5-14]Decklid_Liftglass_Switc,1,D212
15_ISO_15416_1D_QUIET_ZONE,0,D212
15_ISO_15416_1D_QUIET_ZONE,0,D212
162_[J5-34]Liftgate_Glass_Decklid_,0,D210
CAUSER,29,R4706
535800_Child_Lock_Ckt LSD Fdbk on,1,R4706
535800_Child_Lock_Ckt LSD Fdbk on,5,R4706
535800_Child_Lock_Ckt LSD Fdbk on,1,R4706
308_Read_No_polling_Hazard,0,D200
289_Read_No_polling_Hazard,0,D200
146_[J5-47]Park_Brake_CktFdbkOff,0,R221
CAUSER,29,R221
504440_Nominal Current,6.003,D2400
511390_LF_Door_Latch_Fdbk_Ckt Acti,8192,D2400
511390_LF_Door_Latch_Fdbk_Ckt Acti,8192,D2400
110_[J5-14]Decklid_Liftglass_Switc,1,C6035
202_[J2-29]ALM_Color_Select_CktFdb,0,C6035
514940_ENS_Signal_Ckt Frequency,9.999,D2800
514940_ENS_Signal_Ckt Frequency,9.999,D2800
J5_48_Y,-1,D2800
J5_48_X,-1,D2800
J5_49_Y,-1,D2800
J5_49_X,-1,D2800
757_[J6-7]Parkaid_Sensor_Power_Fro,.0089,V801
129_[J5-14]Decklid_Liftglass_Switc,1,D212
684_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.30,D4009
811_DTCs_Allowed,-99,D4009
CAUSER,29,R4732
535364_AI_DOOR_LS_SENSE_offset,960,R4732
129_[J5-14]Decklid_Liftglass_Switc,1,D212
781_Write_Key_Code_Card_Number,1,D212
102_PulseScan1FdbkOn,0,T200
104_[J2-18]Horn_Relay_Input_CktFdb,0,T200
125_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
420_[J2-44]White_Light_Ckt50%VminV,11397,V4005
407_[J2-44]White_Light_Ckt50%VminV,1142.,V4005
308_Read_No_polling_Hazard,0,D200
129_[J5-14]Decklid_Liftglass_Switc,1,D212
C107,10415,D212
129_[J5-14]Decklid_Liftglass_Switc,1,D212
C5001,277.6,D212
C5001,268.9,D212
511060_Generic_SW_Input_2 Active,512,R2512
757_[J6-7]Parkaid_Sensor_Power_Fro,0,V801
758_[J6-7]Parkaid_Sensor_Power_Fro,.0411,V801
769_Get_Self_Test_Results,-1,V801
769_Get_Self_Test_Results,-1,V801
81_[J8] Nominal Current On,575,V700
62_[J8] Nominal Current On,562.9,V700
62_[J8] Nominal Current On,552.1,V700
62_[J8] Nominal Current On,335.7,V700
81_[J8] Nominal Current On,563,V700
62_[J8] Nominal Current On,552.1,V700
781_Write_Key_Code_Card_Number,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
781_Write_Key_Code_Card_Number,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
169_[J5-31]LR_LED_Turn_Outage_CktF,0,V2002
169_[J5-31]LR_LED_Turn_Outage_CktF,0,V2002
571_[J3-32]All_Door_UnLock_CktVolt,.0410,V5000
571_[J3-32]All_Door_UnLock_CktVolt,.0099,V5000
505700_DS_RL _CAP_SEN_DATA Off Sta,1023,R6954
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.30,D4009
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
313_[J5-49]ENS_Signal_CktFrequency,9999,D2000
CAUSER,29,D2000
638_[J4-13][J4-28]Ext Ant1 P-P Vol,0,V6000
638_[J4-13][J4-28]Ext Ant1 P-P Vol,0,V6000
110_[J5-14]Decklid_Liftglass_Switc,1,D212
638_[J4-13][J4-28]Ext Ant1 P-P Vol,0,V6000
638_[J4-13][J4-28]Ext Ant1 P-P Vol,0,V6000
129_[J5-14]Decklid_Liftglass_Switc,1,D212
129_[J5-14]Decklid_Liftglass_Switc,1,D212
11_MS12X_Erase_Flash,0,V801
11_MS12X_Erase_Flash,0,V801
638_[J4-13][J4-28]Ext Ant1 P-P Vol,0,V6000
638_[J4-13][J4-28]Ext Ant1 P-P Vol,0,V6000
129_[J5-14]Decklid_Liftglass_Switc,1,D212
6_MPC560_Erase_Flash,0,D203
6_MPC560_Erase_Flash,0,D203
6_MPC560_Erase_Flash,0,D203
124_[J2-14]Clutch_Input_CktFdbkOn,0,D203
CAUSER,48,D203
781_Write_Key_Code_Card_Number,1,T202
309_Read RS polling Hazard,1,T202
125_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
781_Write_Key_Code_Card_Number,1,T202
309_Read RS polling Hazard,1,T202
143_[J2-14]Clutch_Input_CktFdbkOn,0,T202
L102_C,0,T202
L102,-39.6,T202
L102_C,0,T202
L102,-27.6,T202
0;V4000;0,46,T202
129_[J5-14]Decklid_Liftglass_Switc,1,D212
129_[J5-14]Decklid_Liftglass_Switc,1,D212
6_MPC560_Erase_Flash,0,D212
6_MPC560_Erase_Flash,0,D212
6_MPC560_Erase_Flash,0,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,48,D212
178_[J5-47]Park_Brake_CktFdbkOn,1,D205
C4053,10016,D205
C4053,10005,D205
684_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.29,D4009
159_[J5-47]Park_Brake_CktFdbkOn,1,D205
156_[J2-14]Clutch_Input_CktFdbkOff,1,R298
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
110_[J5-14]Decklid_Liftglass_Switc,1,D212
159_[J5-47]Park_Brake_CktFdbkOn,1,D205
814_DTCs_Allowed,-99,R210
814_DTCs_Allowed,-99,R210
